SEASON,LEVEL,PROFILE,SIGNALS,HITS,HIT_RATE,AVG_ODDS,STAKE,RETURN,PROFIT,ROI
ESP_2021,CORE_A,ALL,51,12,0.23529411764705882,8.75,51.0,105.0,54.0,1.0588235294117647
ESP_2021,CORE_A,AWAY_LE_0.75,42,11,0.2619047619047619,9.045454545454545,42.0,99.5,57.5,1.369047619047619
ESP_2021,CORE_A,AWAY_LE_1.00,46,11,0.2391304347826087,9.045454545454545,46.0,99.5,53.5,1.1630434782608696
ESP_2021,CORE_A,DOM25_AWAY075,22,5,0.22727272727272727,12.1,22.0,60.5,38.5,1.75
ESP_2021,CORE_A,DOM25_AWAY100,24,5,0.20833333333333334,12.1,24.0,60.5,36.5,1.5208333333333333
ESP_2021,CORE_A,DOM50_AWAY075,19,5,0.2631578947368421,12.1,19.0,60.5,41.5,2.1842105263157894
ESP_2021,CORE_A,DOM50_AWAY100,20,5,0.25,12.1,20.0,60.5,40.5,2.025
ESP_2021,CORE_A,DOM_GE_0.25,26,5,0.19230769230769232,12.1,26.0,60.5,34.5,1.3269230769230769
ESP_2021,CORE_A,DOM_GE_0.50,20,5,0.25,12.1,20.0,60.5,40.5,2.025
ESP_2021,CORE_B,ALL,44,5,0.11363636363636363,8.65,44.0,43.25,-0.75,-0.017045454545454544
ESP_2021,CORE_B,AWAY_LE_0.75,24,4,0.16666666666666666,7.0625,24.0,28.25,4.25,0.17708333333333334
ESP_2021,CORE_B,AWAY_LE_1.00,37,5,0.13513513513513514,8.65,37.0,43.25,6.25,0.16891891891891891
ESP_2021,CORE_B,DOM25_AWAY075,12,3,0.25,6.25,12.0,18.75,6.75,0.5625
ESP_2021,CORE_B,DOM25_AWAY100,16,3,0.1875,6.25,16.0,18.75,2.75,0.171875
ESP_2021,CORE_B,DOM50_AWAY075,10,3,0.3,6.25,10.0,18.75,8.75,0.875
ESP_2021,CORE_B,DOM50_AWAY100,12,3,0.25,6.25,12.0,18.75,6.75,0.5625
ESP_2021,CORE_B,DOM_GE_0.25,18,3,0.16666666666666666,6.25,18.0,18.75,0.75,0.041666666666666664
ESP_2021,CORE_B,DOM_GE_0.50,14,3,0.21428571428571427,6.25,14.0,18.75,4.75,0.3392857142857143
ESP_2021,CORE_C,ALL,114,20,0.17543859649122806,7.075,114.0,141.5,27.5,0.2412280701754386
ESP_2021,CORE_C,AWAY_LE_0.75,20,2,0.1,6.5,20.0,13.0,-7.0,-0.35
ESP_2021,CORE_C,AWAY_LE_1.00,51,10,0.19607843137254902,7.5,51.0,75.0,24.0,0.47058823529411764
ESP_2021,CORE_C,DOM25_AWAY075,11,1,0.09090909090909091,6.0,11.0,6.0,-5.0,-0.45454545454545453
ESP_2021,CORE_C,DOM25_AWAY100,28,5,0.17857142857142858,7.8,28.0,39.0,11.0,0.39285714285714285
ESP_2021,CORE_C,DOM50_AWAY075,10,1,0.1,6.0,10.0,6.0,-4.0,-0.4
ESP_2021,CORE_C,DOM50_AWAY100,26,5,0.19230769230769232,7.8,26.0,39.0,13.0,0.5
ESP_2021,CORE_C,DOM_GE_0.25,41,8,0.1951219512195122,7.28125,41.0,58.25,17.25,0.42073170731707316
ESP_2021,CORE_C,DOM_GE_0.50,31,7,0.22580645161290322,7.392857142857143,31.0,51.75,20.75,0.6693548387096774
ESP_2022,CORE_A,ALL,39,11,0.282051282051282,7.272727272727272,39.0,80.0,41.0,1.051282051282051
ESP_2022,CORE_A,AWAY_LE_0.75,31,10,0.3225806451612903,7.3,31.0,73.0,42.0,1.3548387096774193
ESP_2022,CORE_A,AWAY_LE_1.00,32,11,0.34375,7.272727272727272,32.0,80.0,48.0,1.5
ESP_2022,CORE_A,DOM25_AWAY075,17,7,0.4117647058823529,7.607142857142857,17.0,53.25,36.25,2.1323529411764706
ESP_2022,CORE_A,DOM25_AWAY100,17,7,0.4117647058823529,7.607142857142857,17.0,53.25,36.25,2.1323529411764706
ESP_2022,CORE_A,DOM50_AWAY075,15,5,0.3333333333333333,7.65,15.0,38.25,23.25,1.55
ESP_2022,CORE_A,DOM50_AWAY100,15,5,0.3333333333333333,7.65,15.0,38.25,23.25,1.55
ESP_2022,CORE_A,DOM_GE_0.25,17,7,0.4117647058823529,7.607142857142857,17.0,53.25,36.25,2.1323529411764706
ESP_2022,CORE_A,DOM_GE_0.50,15,5,0.3333333333333333,7.65,15.0,38.25,23.25,1.55
ESP_2022,CORE_B,ALL,41,5,0.1219512195121951,6.85,41.0,34.25,-6.75,-0.1646341463414634
ESP_2022,CORE_B,AWAY_LE_0.75,28,4,0.1428571428571428,7.0625,28.0,28.25,0.25,0.0089285714285714
ESP_2022,CORE_B,AWAY_LE_1.00,34,5,0.1470588235294117,6.85,34.0,34.25,0.25,0.0073529411764705
ESP_2022,CORE_B,DOM25_AWAY075,16,3,0.1875,7.583333333333333,16.0,22.75,6.75,0.421875
ESP_2022,CORE_B,DOM25_AWAY100,20,4,0.2,7.1875,20.0,28.75,8.75,0.4375
ESP_2022,CORE_B,DOM50_AWAY075,14,3,0.2142857142857142,7.583333333333333,14.0,22.75,8.75,0.625
ESP_2022,CORE_B,DOM50_AWAY100,17,4,0.2352941176470588,7.1875,17.0,28.75,11.75,0.6911764705882353
ESP_2022,CORE_B,DOM_GE_0.25,24,4,0.1666666666666666,7.1875,24.0,28.75,4.75,0.1979166666666666
ESP_2022,CORE_B,DOM_GE_0.50,20,4,0.2,7.1875,20.0,28.75,8.75,0.4375
ESP_2022,CORE_C,ALL,145,22,0.1517241379310344,6.75,145.0,148.5,3.5,0.0241379310344827
ESP_2022,CORE_C,AWAY_LE_0.75,25,2,0.08,6.625,25.0,13.25,-11.75,-0.47
ESP_2022,CORE_C,AWAY_LE_1.00,61,10,0.1639344262295081,6.5,61.0,65.0,4.0,0.0655737704918032
ESP_2022,CORE_C,DOM25_AWAY075,13,1,0.0769230769230769,6.25,13.0,6.25,-6.75,-0.5192307692307693
ESP_2022,CORE_C,DOM25_AWAY100,28,5,0.1785714285714285,6.35,28.0,31.75,3.75,0.1339285714285714
ESP_2022,CORE_C,DOM50_AWAY075,11,0,0.0,0.0,11.0,0.0,-11.0,-1.0
ESP_2022,CORE_C,DOM50_AWAY100,22,4,0.1818181818181818,6.375,22.0,25.5,3.5,0.1590909090909091
ESP_2022,CORE_C,DOM_GE_0.25,60,9,0.15,6.75,60.0,60.75,0.75,0.0125
ESP_2022,CORE_C,DOM_GE_0.50,42,6,0.1428571428571428,7.0,42.0,42.0,0.0,0.0
